id,subarea,objective,question,answer,explanation,difficulty,tags
F122,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Language Immersion?,An approach where learners are surrounded by and use the target language for all communication,"Immersion programs teach content subjects in the target language, creating authentic contexts for acquisition. Students learn language through meaningful use rather than isolated drills.",2,"{""immersion"",""bilingual"",""acquisition"",""pedagogy""}"
F123,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Translanguaging?,Using multiple languages fluidly to make meaning and communicate effectively,"Translanguaging views bilingualism as a dynamic resource: students draw on all their linguistic repertoires to learn, think, and express themselves, rather than keeping languages separate.",2,"{""translanguaging"",""bilingualism"",""multilingualism""}"
F124,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Metalinguistic Awareness?,The ability to think about and manipulate language structures consciously,"Metalinguistic Awareness allows learners to analyze language as an object—recognizing rhyme, syllables, word parts, and grammatical patterns. It's crucial for reading and writing development.",3,"{""metalinguistic"",""awareness"",""language analysis""}"
F125,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What are Language Development Strategies?,"Teacher techniques such as modeling, sentence frames, visuals, and collaborative talk to strengthen student language skills","Effective strategies include modeling, wait time, scaffolding, visual aids, collaborative discussions, and explicit vocabulary instruction. These support both BICS and CALP development.",2,"{""strategies"",""instruction"",""ELL"",""pedagogy""}"
F126,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is Old English (450–1100 CE)?,"The earliest form of English, heavily influenced by Germanic tribes","Old English was spoken by the Angles, Saxons, and Jutes who settled in Britain. It's very different from Modern English, with complex inflections and Germanic vocabulary. Example text: Beowulf.",2,"{""Old English"",""history"",""Germanic""}"
F127,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is Middle English (1100–1500 CE)?,English after the Norman Conquest with French and Latin influences,"The Norman Conquest (1066) brought French-speaking rulers to England. Thousands of French words entered English, especially in law, government, and cuisine. Example: Chaucer's Canterbury Tales.",2,"{""Middle English"",""Norman Conquest"",""French influence""}"
F128,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is Early Modern English (1500–1800 CE)?,English during the Renaissance and Shakespeare era with emerging standardization,"This period saw the printing press, increased literacy, and Shakespeare's contributions. Grammar and spelling began to standardize. The King James Bible (1611) also influenced the language significantly.",2,"{""Early Modern English"",""Shakespeare"",""Renaissance""}"
F129,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is The Great Vowel Shift?,A major phonological change between 1400–1600 that altered vowel pronunciation,"The Great Vowel Shift changed how long vowels were pronounced, creating differences between spelling and pronunciation. This explains why English spelling often doesn't match pronunciation (e.g., 'meat' vs. 'great').",3,"{""Great Vowel Shift"",""phonology"",""pronunciation""}"
F130,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is a Loanword?,A word adopted from another language without translation,"English has borrowed extensively from other languages. Examples: 'piano' (Italian), 'café' (French), 'kindergarten' (German), 'safari' (Swahili). Loanwords enrich vocabulary.",1,"{""loanword"",""borrowing"",""vocabulary""}"
F131,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is a Calque?,A word or phrase borrowed by literal translation,"Calques translate elements from another language. Examples: 'skyscraper' (from French 'gratte-ciel'), 'flea market' (from French 'marché aux puces'). The structure is borrowed, not the words themselves.",2,"{""calque"",""translation"",""borrowing""}"
F132,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is Etymology?,The study of word origins and how meanings have changed over time,"Etymology traces words back to their roots, revealing historical connections and semantic shifts. For example, 'nice' originally meant 'foolish' (from Latin 'nescius' = ignorant), but meanings evolved over centuries.",1,"{""etymology"",""word origins"",""history""}"
F133,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is a Pidgin?,A simplified blend of languages used for communication between groups,Pidgins develop when groups need to communicate but don't share a language. They have simplified grammar and limited vocabulary. Example: Tok Pisin in Papua New Guinea. No native speakers—it's learned as a second language.,2,"{""pidgin"",""contact language"",""sociolinguistics""}"
F134,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is a Creole?,"A stable, fully developed language that evolves from a pidgin","When a pidgin gains native speakers (usually children), it expands in complexity and becomes a creole. Example: Haitian Creole, Gullah. Creoles have full grammatical systems and can express any meaning.",2,"{""creole"",""language development"",""sociolinguistics""}"
F135,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is a Dialect?,A regional or social variety of a language with distinct features,"Dialects vary in pronunciation, grammar, and vocabulary. Examples: Southern American English, British Received Pronunciation, African American Vernacular English (AAVE). All dialects are linguistically valid and rule-governed.",1,"{""dialect"",""variation"",""regional language""}"
F136,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is an Idiolect?,An individual's unique pattern of speech and language use,"Everyone has an idiolect shaped by region, social group, age, experiences, and personal preferences. Your idiolect includes your vocabulary choices, pronunciation patterns, and favorite expressions.",2,"{""idiolect"",""individual speech"",""variation""}"
F137,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is a Sociolect?,A language variety associated with a particular social group or class,"Sociolects reflect social identity, class, education, or profession. Examples include academic language, legal jargon, or working-class speech patterns. Like dialects, sociolects are systematic and meaningful.",2,"{""sociolect"",""social variation"",""class""}"
F138,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is Slang?,Informal language used to establish identity or express novelty,"Slang is often generational, regional, or group-specific. It evolves rapidly and may not be understood outside the group. Examples: 'cool' (good), 'ghosting' (ignoring someone). Slang reflects cultural trends.",1,"{""slang"",""informal language"",""identity""}"
F139,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",What is Standard American English (SAE)?,The form of English considered most acceptable in formal contexts,"SAE is the variety taught in schools and used in formal writing, news media, and professional settings. It's not inherently 'better' than other dialects, but it carries social prestige and institutional power.",2,"{""Standard English"",""formal language"",""prestige""}"
F201,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Language Acquisition?,The unconscious process by which humans naturally acquire language through interaction and exposure,"Language Acquisition happens naturally as children interact with caregivers and their environment. Unlike learning (conscious study), acquisition is implicit and automatic. Example: Babies acquiring their first language without formal instruction.",1,"{""language acquisition"",""natural learning"",""development""}"
F202,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Language Learning?,"The conscious study of language rules and structure, often in formal classroom settings","Language Learning involves explicit instruction, memorization, and conscious attention to rules. Example: Studying grammar or vocabulary lists. Krashen distinguishes this from natural acquisition.",1,"{""language learning"",""formal instruction"",""conscious study""}"
F203,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is the Critical Period Hypothesis?,Proposes that language acquisition is most efficient during early childhood before neural plasticity declines,"This hypothesis suggests there's a biological window (roughly birth to puberty) when language acquisition is easiest. After this period, learning new languages becomes more difficult due to decreased brain plasticity.",2,"{""critical period"",""brain development"",""age factors""}"
F204,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Overgeneralization?,A developmental stage when children apply a learned rule too broadly,"Overgeneralization shows children are learning language rules, not just memorizing. Example: 'goed' instead of 'went' applies the regular past tense rule (-ed) to an irregular verb. This is a normal, productive stage of acquisition.",2,"{""overgeneralization"",""child development"",""grammar rules""}"
F205,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Telegraphic Speech?,Early child speech using essential words only,"Telegraphic Speech omits function words (articles, prepositions) and uses content words: 'Want cookie,' 'Daddy go.' Named after telegrams which charged per word. Typical around 18-24 months.",1,"{""telegraphic speech"",""early language"",""child development""}"
F206,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Interactionist Theory?,Emphasizes that language develops through social interaction and communication with caregivers,"Interactionist Theory combines biological readiness with social necessity. Language emerges through meaningful interaction, not just exposure. Caregivers' responsive communication supports language growth.",2,"{""interactionist"",""social learning"",""interaction""}"
F207,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Behaviorist Theory?,"Proposes that language is learned through imitation, reinforcement, and conditioning","Behaviorist Theory (Skinner) views language as learned behavior shaped by rewards and punishments. Children imitate adults and are reinforced for correct forms. However, this doesn't fully explain creative language use.",2,"{""behaviorism"",""Skinner"",""imitation""}"
F208,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Nativist Theory?,Chomsky's view that humans are born with an innate capacity for language (Language Acquisition Device),"Nativist Theory (Chomsky) proposes a universal grammar hardwired in the brain. The Language Acquisition Device (LAD) allows children to acquire any language with minimal input. Explains rapid, universal language development.",2,"{""nativist"",""Chomsky"",""LAD"",""innate""}"
F209,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Cognitive Theory (Piaget)?,Suggests that language development is linked to overall cognitive growth and concept formation,"Piaget argued language depends on cognitive development. Children can't use words for concepts they haven't mentally grasped. Language reflects thinking, not vice versa. Symbolic thought enables language.",2,"{""cognitive theory"",""Piaget"",""thinking""}"
F210,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Zone of Proximal Development (ZPD)?,Vygotsky's concept: learners progress when supported slightly beyond their current ability,"ZPD is the gap between what learners can do independently and what they can do with guidance. Effective teaching targets this zone, providing scaffolding to reach new levels. Social interaction is key to learning.",2,"{""ZPD"",""Vygotsky"",""scaffolding"",""development""}"
F211,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Interlanguage?,A temporary linguistic system formed by second language learners blending features of both languages,"Interlanguage is the learner's evolving language system between L1 and L2. It's systematic but contains errors from L1 influence, overgeneralization, and incomplete L2 knowledge. Example: 'She no like' (Spanish influence on English).",2,"{""interlanguage"",""L2 learning"",""developmental""}"
F212,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Language Transfer?,The influence of a learner's first language on the acquisition of a second,Language Transfer occurs when L1 patterns affect L2 production. Can be positive (helpful similarities) or negative (interference from differences). Example: Spanish speakers omitting 'it' in 'It's raining' (not required in Spanish).,2,"{""transfer"",""L1 influence"",""L2 acquisition""}"
F213,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Positive Transfer?,"When L1 and L2 share similar structures, facilitating learning","Positive Transfer helps learners by applying L1 knowledge to L2. Examples: cognates (information/información), similar grammar patterns, shared phonemes. Bilingual students can leverage these similarities.",1,"{""positive transfer"",""cognates"",""facilitation""}"
F214,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Negative Transfer (Interference)?,When differences between L1 and L2 cause learning difficulties or errors,"Negative Transfer creates errors when L1 patterns conflict with L2. Examples: Spanish speakers saying 'is raining' (omitting subject), Japanese speakers confusing 'r' and 'l'. Teachers should address these predictable errors.",2,"{""negative transfer"",""interference"",""errors""}"
F215,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Code-Mixing?,The blending of words or phrases from two languages within a single discourse,"Code-Mixing combines languages within sentences or conversations. Different from code-switching (alternating between languages). Example: 'Vamos al store' (Spanish + English). Common among bilinguals, reflects linguistic flexibility.",2,"{""code-mixing"",""bilingualism"",""language contact""}"
F216,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Academic Language?,"Language used in formal education settings; includes specialized vocabulary, syntax, and discourse structures","Academic Language is more abstract, complex, and context-reduced than social language. Requires explicit instruction. Examples: technical vocabulary, passive voice, complex sentences. Essential for school success.",2,"{""academic language"",""CALP"",""formal language""}"
F217,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Disciplinary Literacy?,Understanding how language and communication differ across academic subjects,"Disciplinary Literacy recognizes that reading/writing in history differs from science or math. Each discipline has unique texts, vocabulary, arguments, and ways of constructing knowledge. Students need subject-specific literacy strategies.",2,"{""disciplinary literacy"",""content areas"",""subject-specific""}"
F218,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Language Across the Curriculum?,"Teaching approach that integrates reading, writing, and speaking skills into all subject areas","Language Across the Curriculum makes all teachers language teachers. Students read, write, and discuss in math, science, social studies—not just English class. Reinforces literacy while deepening content understanding.",2,"{""language across curriculum"",""integration"",""content literacy""}"
F219,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Collaborative Dialogue?,Conversation among learners that promotes language acquisition through peer interaction,"Collaborative Dialogue involves students negotiating meaning, clarifying ideas, and co-constructing knowledge through talk. Promotes active language use, critical thinking, and social learning. Example: partner discussions, group projects.",1,"{""collaborative dialogue"",""peer interaction"",""discussion""}"
F220,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Cultural Schema?,Background knowledge from one's culture that influences language comprehension and use,"Cultural Schema includes shared experiences, values, and knowledge that aid comprehension. Example: American students understanding baseball metaphors in text. ELLs may lack cultural schema, hindering comprehension despite language proficiency.",2,"{""cultural schema"",""background knowledge"",""comprehension""}"
F221,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Academic Vocabulary Tier 2?,High-utility words used across disciplines,"Tier 2 vocabulary appears across subjects: analyze, infer, evaluate, synthesize. More sophisticated than everyday words (Tier 1: happy, run) but less specialized than technical terms (Tier 3: photosynthesis). Priority for explicit instruction.",1,"{""Tier 2 vocabulary"",""academic words"",""cross-disciplinary""}"
F222,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Metacognition in Reading?,Students' awareness and control of their comprehension processes,"Metacognition means thinking about thinking. In reading, students monitor comprehension, notice confusion, and apply fix-up strategies. Example: re-reading, asking questions, visualizing. Explicit instruction improves metacognitive skills.",2,"{""metacognition"",""comprehension monitoring"",""self-awareness""}"
F223,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Scaffolded Reading Instruction?,"Teacher gradually releases responsibility by modeling strategies, guiding practice, then independent work","Scaffolded Instruction follows the gradual release model: I do (modeling), We do (guided practice), You do (independent practice). Supports learners in ZPD, building autonomy. Example: teacher thinks aloud, then students practice with support.",1,"{""scaffolding"",""gradual release"",""instruction""}"
F224,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What are Cross-Linguistic Connections?,Recognizing relationships between languages to strengthen vocabulary and comprehension,"Cross-Linguistic Connections leverage bilingual students' L1 knowledge. Examples: comparing cognates, discussing idioms, analyzing grammar differences. Validates home language while building English proficiency.",2,"{""cross-linguistic"",""bilingual education"",""transfer""}"
F225,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",What is Integrative Language Teaching?,"Combining listening, speaking, reading, and writing in content-rich lessons to promote holistic competence","Integrative Language Teaching connects all four skills in meaningful contexts rather than isolating them. Example: students read about ecosystems, discuss findings, write reports, present orally. Reflects authentic language use.",2,"{""integrative teaching"",""four skills"",""holistic""}"
F401,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Phonology?,"The sound system of a language, including phonemes, stress, and intonation patterns","Phonology studies how sounds function in a language. It includes phonemes (smallest sound units), stress patterns (syllable emphasis), and intonation (pitch changes). Example: English distinguishes /p/ and /b/ as separate phonemes (pin vs. bin).",2,"{""phonology"",""linguistics"",""sound system""}"
F402,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Morphology?,The structure of words and the formation of words from morphemes,"Morphology analyzes how words are built from morphemes (roots, prefixes, suffixes). Example: 'unhappiness' = un- (prefix) + happy (root) + -ness (suffix). Understanding morphology aids vocabulary development and spelling.",2,"{""morphology"",""word structure"",""morphemes""}"
F403,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Syntax?,Rules governing phrase and sentence structure; how words combine into clauses,Syntax determines word order and grammatical relationships. Example: 'The cat chased the mouse' vs. 'The mouse chased the cat' show how syntax creates different meanings. English uses subject-verb-object order.,2,"{""syntax"",""sentence structure"",""grammar""}"
F404,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Semantics?,"Meaning in language; relationships among words, phrases, and sentences","Semantics studies how meaning is constructed and interpreted. Includes word meanings, sentence meanings, and how context affects interpretation. Example: 'bank' can mean financial institution or river edge—context determines meaning.",2,"{""semantics"",""meaning"",""linguistics""}"
F405,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Pragmatics?,"Language use in context; implied meaning, speaker intent, and social norms","Pragmatics examines how context shapes meaning beyond literal words. Includes indirect speech acts, implicature, and social conventions. Example: 'Can you pass the salt?' is a request, not a question about ability.",3,"{""pragmatics"",""context"",""implied meaning""}"
F406,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Descriptive vs. Prescriptive grammar?,Descriptive grammar explains how people actually use language; prescriptive grammar dictates how they should use it,Descriptive grammar observes and documents real language use without judgment (linguists' approach). Prescriptive grammar enforces rules about 'correct' usage (traditional school approach). Example: Descriptive accepts 'they' as singular pronoun; prescriptive may reject it.,1,"{""grammar"",""descriptive"",""prescriptive"",""linguistics""}"
F407,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Ambiguity?,"A word, phrase, or passage with multiple possible meanings; can be intentional for effect","Ambiguity allows multiple interpretations. Can be lexical (word level), syntactic (sentence structure), or semantic (meaning). Authors may use it deliberately for complexity. Example: 'Flying planes can be dangerous' (piloting vs. airborne planes).",3,"{""ambiguity"",""multiple meanings"",""interpretation""}"
F408,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Connotation?,Associated or suggested meaning of a word beyond its denotation,Connotation is the emotional or cultural associations a word carries. Example: 'home' (denotation: residence) has positive connotations of warmth and belonging. Word choice affects tone through connotation.,1,"{""connotation"",""word meaning"",""associations""}"
F409,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Figurative Language?,"Nonliteral language (metaphor, simile, personification, hyperbole) to create effects","Figurative Language uses words beyond their literal meanings to create imagery, emphasis, or emotional impact. Includes metaphor, simile, personification, hyperbole, and more. Example: 'Time is a thief' (metaphor).",1,"{""figurative language"",""literary devices"",""metaphor""}"
F410,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Irony?,Discrepancy between expectation and reality,"Irony creates contrast between what's expected and what occurs. Types: verbal (saying opposite of meaning), situational (outcome opposite of expected), dramatic (audience knows more than characters). Example: Fire station burns down (situational irony).",2,"{""irony"",""verbal"",""situational"",""dramatic""}"
F411,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Imagery?,Language appealing to the senses to evoke responses in readers,"Imagery uses sensory details (sight, sound, smell, taste, touch) to create vivid mental pictures. Helps readers experience the text emotionally and physically. Example: 'The crisp, golden leaves crunched beneath her feet.'",1,"{""imagery"",""sensory details"",""description""}"
F412,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Rhythm & Meter?,Pattern of stressed/unstressed syllables in verse; meter types like iambic pentameter,Rhythm is the pattern of beats in poetry. Meter is systematic rhythm measured in feet. Example: Iambic pentameter (Shakespeare's favorite) has 5 iambs per line (unstressed-STRESSED). Creates musicality and emphasis.,3,"{""rhythm"",""meter"",""poetry"",""iambic pentameter""}"
F413,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Rhyme?,"Repetition of similar sounds, especially at line ends; includes slant rhyme and internal rhyme","Rhyme repeats similar sounds for musicality and emphasis. Types: end rhyme (line ends), internal rhyme (within lines), slant/near rhyme (similar but not exact sounds). Example: 'cat/hat' (perfect rhyme), 'cat/cot' (slant rhyme).",2,"{""rhyme"",""sound patterns"",""poetry""}"
F414,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Characterization?,Methods an author uses to portray character,"Characterization reveals characters through direct description, actions, dialogue, thoughts, and others' reactions. Can be direct (author tells) or indirect (reader infers). Example: Actions revealing bravery show character without stating it directly.",2,"{""characterization"",""character development"",""literary analysis""}"
F415,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Plot & Setting?,Plot: sequence of events; Setting: time/place/context framing events and mood,"Plot is the story structure (exposition, rising action, climax, falling action, resolution). Setting establishes when and where events occur, influencing mood and conflict. Example: A story set during war creates tension and limits character choices.",1,"{""plot"",""setting"",""story structure""}"
F416,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Tone & Mood?,Tone: author's attitude; Mood: emotional atmosphere experienced by readers,"Tone reflects the author's perspective (humorous, serious, sarcastic). Mood is the feeling evoked in readers (tense, peaceful, melancholy). Word choice, imagery, and syntax create both. Example: Dark imagery creates ominous mood.",1,"{""tone"",""mood"",""atmosphere"",""style""}"
F417,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is a Universal Theme?,Idea of broad human significance recurring across cultures and eras,"Universal Themes address fundamental human experiences: identity, justice, love, mortality, power. They transcend specific contexts and resonate across time and cultures. Example: The hero's journey appears in myths worldwide.",2,"{""theme"",""universal"",""literary analysis""}"
F418,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What is Thesis & Support?,"A clear, arguable central claim with logically organized, relevant evidence and reasoning","A thesis states the essay's main argument. Support includes evidence (facts, examples, quotations) and reasoning connecting evidence to the claim. Strong essays have unified paragraphs, transitions, and logical progression.",2,"{""thesis"",""argumentation"",""essay structure""}"
F419,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",What are Expository Structures?,"Common patterns: definition, classification, cause–effect, compare–contrast, problem–solution; formats like business letter, news article, formal essay",Expository writing informs or explains using organizational patterns suited to purpose. Definition explains terms; compare-contrast shows similarities/differences; cause-effect shows relationships. Format matches audience and purpose (business letter for professional communication).,2,"{""expository writing"",""organization"",""text structures""}"
F601,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What are Context Clues?,Hints within a text that help determine the meaning of unfamiliar words,"Context Clues are surrounding words, phrases, or sentences that help readers infer unknown word meanings. Types include definition, example, synonym, antonym, and inference clues. Essential for vocabulary development.",1,"{""context clues"",""vocabulary"",""reading strategies""}"
F602,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Word Structure analysis?,"Analysis of prefixes, roots, and suffixes to determine word meaning",Word Structure analysis breaks words into morphemes (meaningful parts) to understand meanings. Example: 'unhappiness' = un- (not) + happy + -ness (state). Supports vocabulary growth and spelling.,1,"{""word structure"",""morphology"",""vocabulary""}"
F603,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Skimming?,A reading technique used to quickly identify main ideas or general meaning,"Skimming involves reading headings, first sentences, and key words to grasp the gist without reading every word. Used for previewing, reviewing, or determining relevance. Improves reading efficiency.",1,"{""skimming"",""reading strategies"",""efficiency""}"
F604,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Scanning?,A reading strategy used to locate specific facts or details quickly,"Scanning involves moving eyes rapidly over text to find particular information (names, dates, statistics). Like using Find/Search. Different from skimming (which seeks main ideas). Essential research skill.",1,"{""scanning"",""reading strategies"",""research""}"
F605,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Inference?,A logical conclusion drawn from evidence and reasoning rather than explicit statements,Inference combines textual evidence with prior knowledge to understand implied meanings. Example: 'Her hands trembled' infers nervousness. Critical for comprehension beyond literal level.,2,"{""inference"",""critical thinking"",""comprehension""}"
F606,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Summarizing?,Condensing a text to its essential ideas while maintaining its meaning,"Summarizing identifies main ideas and key supporting details, omitting examples and redundancy. Requires distinguishing important from unimportant information. Tests and builds comprehension.",2,"{""summarizing"",""main idea"",""comprehension""}"
F607,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What are General vs. Specific Statements?,General statements express broad ideas; specific statements provide supporting details,"General statements make broad claims (topic sentences); specific statements offer examples, facts, or details supporting them. Recognizing this hierarchy aids comprehension and summarization.",1,"{""text structure"",""main idea"",""details""}"
F608,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Metacognition?,Thinking about one's own thinking; awareness of comprehension strategies and monitoring understanding,"Metacognition includes planning (setting purpose), monitoring (noticing confusion), and evaluating (checking understanding). Effective readers use metacognitive strategies to regulate comprehension.",2,"{""metacognition"",""self-monitoring"",""strategies""}"
F609,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Denotative Meaning?,"The literal, dictionary definition of a word",Denotative Meaning is objective and universal—what a word literally means. Example: 'home' denotes a dwelling place. Contrasts with connotation (emotional associations).,1,"{""denotation"",""meaning"",""vocabulary""}"
F610,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Connotative Meaning?,The emotional or associative meaning attached to a word beyond its definition,"Connotative Meaning includes feelings and associations. Example: 'home' connotes warmth, safety, belonging. Understanding connotation is critical for interpreting tone and author's purpose.",1,"{""connotation"",""meaning"",""tone""}"
F611,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Prior Knowledge Activation?,Connecting what a reader already knows to new text information to improve comprehension,"Prior Knowledge Activation uses existing knowledge to make sense of new information. Example: KWL charts (Know, Want to know, Learned). Essential for building schema and deepening understanding.",2,"{""prior knowledge"",""schema"",""comprehension""}"
F612,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Prediction Strategy?,Anticipating what will happen next in a text to maintain engagement and comprehension,"Prediction Strategy uses textual clues and prior knowledge to forecast outcomes. Keeps readers engaged, aids comprehension monitoring. Predictions should be confirmed or revised as reading continues.",2,"{""prediction"",""engagement"",""comprehension""}"
F613,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Audience and Purpose?,"Understanding whom a text targets and why it was written, key to critical reading","Audience (intended readers) and Purpose (inform, persuade, entertain) shape every writing choice. Identifying these helps readers evaluate effectiveness and detect bias.",2,"{""audience"",""purpose"",""critical reading""}"
F614,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Persuasive Strategy?,A rhetorical method used to influence audience beliefs or actions,"Persuasive Strategies include ethos (credibility), pathos (emotion), and logos (logic). Also includes rhetorical questions, repetition, and appeals to values. Critical for analyzing arguments.",2,"{""persuasion"",""rhetoric"",""argumentation""}"
F615,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Fact vs. Opinion?,Facts are verifiable; opinions reflect beliefs or interpretations,Facts can be proven true or false (Earth orbits Sun). Opinions express judgments (Summer is the best season). Critical readers distinguish between them to evaluate claims.,1,"{""fact"",""opinion"",""critical thinking""}"
F616,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Source Credibility?,"Evaluation of an author's expertise, evidence quality, and objectivity","Source Credibility considers author qualifications, evidence (research, data), objectivity, and publisher reputation. Essential for evaluating information reliability, especially online.",2,"{""credibility"",""evaluation"",""sources""}"
F617,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Bias?,A predisposition or prejudice that influences perspective or presentation of information,"Bias is favoritism toward one side, often unconscious. Detected through word choice, omitted information, and source selection. All texts have some bias—critical readers recognize and account for it.",2,"{""bias"",""critical reading"",""perspective""}"
