id,subarea,objective,stem,options,correct_index,rationales,difficulty,assessment
Q312,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",Which term means an affix added to the end of a root?,"{""Prefix"",""Suffix"",""Inflection"",""Stem""}",1,"{""Prefixes attach at the beginning."",""Correct! Suffixes attach at the end (-ness, -tion, -ly)."",""Inflection is a type of suffix, but suffix is the general term."",""Stems are not affixes.""}",1,False
Q313,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",Which suffix changes a verb to a noun?,"{""-ize"",""-tion"",""-ful"",""-ous""}",1,"{""-ize creates verbs from nouns/adjectives."",""Correct! -tion creates nouns from verbs (act → action)."",""-ful creates adjectives from nouns."",""-ous creates adjectives from nouns.""}",1,False
Q314,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",The suffix '-ize' typically forms:,"{""Nouns"",""Verbs"",""Adjectives"",""Adverbs""}",1,"{""Nouns are formed by -tion, -ness, -ment."",""Correct! -ize forms verbs (modern → modernize)."",""Adjectives use -ful, -ous, -able."",""Adverbs use -ly.""}",1,False
Q315,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",The suffix '-ous' turns a noun into an:,"{""Adjective"",""Verb"",""Adverb"",""Pronoun""}",0,"{""Correct! -ous creates adjectives (danger → dangerous)."",""-ize, -en, -ify create verbs."",""-ly typically creates adverbs."",""Pronouns are not formed with suffixes.""}",1,False
Q316,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",Which classroom activity best supports morphological awareness?,"{""Memorizing spelling lists"",""Sorting words by affixes"",""Copying sentences"",""Reciting rhymes""}",1,"{""Memorization doesn't build awareness of word structure."",""Correct! Sorting by affixes helps students analyze and understand word parts."",""Copying doesn't emphasize morphological analysis."",""Rhymes support phonological awareness, not morphological.""}",2,False
Q317,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",Which morpheme type changes word meaning but not grammatical role?,"{""Inflectional"",""Derivational"",""Compound"",""Bound root""}",1,"{""Inflectional morphemes indicate grammar (tense, number) without changing meaning."",""Correct! Derivational morphemes create new words and meanings (happy → happiness)."",""Compounds combine two words, not morphemes."",""Bound roots don't change meaning, they carry core meaning.""}",2,False
Q318,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",Adding '-ed' to indicate past tense is an example of a:,"{""Derivational morpheme"",""Inflectional morpheme"",""Prefix"",""Suffix root""}",1,"{""Derivational morphemes change word class or meaning."",""Correct! Inflectional morphemes mark grammar (tense, number, comparison) without changing word class."",""Prefixes attach at the beginning."",""This is an inflectional suffix, not a root.""}",1,False
Q319,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",Students comparing English and Spanish word endings practice:,"{""Syntax"",""Metalinguistic awareness"",""Fluency"",""Phonology""}",1,"{""Syntax is sentence structure, not word analysis."",""Correct! Metalinguistic awareness is consciously thinking about language structures."",""Fluency is speed and accuracy, not language analysis."",""Phonology is sound systems, not morphology.""}",2,False
Q320,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation","A classroom focused on conversation, gestures, and visual aids demonstrates:","{""Grammar-Translation"",""Communicative approach"",""Audio-lingual method"",""Direct method""}",1,"{""Grammar-Translation emphasizes written translation and explicit grammar."",""Correct! The Communicative approach emphasizes meaningful interaction and context."",""Audio-lingual method focuses on drills and repetition."",""Direct method uses target language only, without emphasizing visuals/gestures as much.""}",2,False
Q321,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",Teachers lower the affective filter by:,"{""Increasing test frequency"",""Creating a supportive environment"",""Correcting every error publicly"",""Reducing peer interaction""}",1,"{""Frequent testing can raise anxiety."",""Correct! A supportive, low-anxiety environment lowers the affective filter and promotes acquisition."",""Public correction raises anxiety."",""Peer interaction supports language development.""}",1,False
Q322,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",Providing sentence frames such as 'I think ___ because ___' helps students:,"{""Build syntax and academic discourse"",""Practice phonics"",""Drill pronunciation"",""Avoid code-switching""}",0,"{""Correct! Sentence frames scaffold academic language structure and reasoning."",""Phonics involves sound-letter relationships, not sentence structure."",""Pronunciation is separate from sentence structure."",""Sentence frames support language use, not eliminate code-switching.""}",2,False
Q323,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation","When teachers explicitly discuss word roots and affixes, they develop:","{""Morphological awareness"",""Phonemic fluency"",""Syntactic transfer"",""Listening comprehension""}",0,"{""Correct! Discussing roots and affixes builds morphological awareness—understanding word structure."",""Phonemic fluency involves sound manipulation, not word parts."",""Syntactic transfer refers to sentence structure influence from L1."",""Listening comprehension requires different strategies.""}",2,False
Q324,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",Suffixes that form nouns often end in:,"{""-able, -ous"",""-ize, -ify"",""-ness, -tion"",""-ed, -ing""}",2,"{""-able and -ous form adjectives."",""-ize and -ify form verbs."",""Correct! -ness and -tion are common noun-forming suffixes."",""-ed and -ing are inflectional suffixes.""}",1,False
Q325,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",The best way to help ELLs develop academic vocabulary is to:,"{""Give bilingual dictionaries"",""Use context-rich content lessons"",""Simplify all reading"",""Limit talk time""}",1,"{""Dictionaries are helpful but don't build deep understanding."",""Correct! Context-rich lessons provide meaningful exposure and use of academic vocabulary."",""Simplifying prevents exposure to academic language."",""Talk time is essential for language development.""}",2,False
Q326,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",Which era of English followed the Norman Conquest and saw major French influence?,"{""Old English"",""Middle English"",""Modern English"",""Contemporary English""}",1,"{""Old English (450-1100) predates the Norman Conquest."",""Correct! Middle English (1100-1500) developed after the Norman Conquest brought French vocabulary into English."",""Modern English came later, from 1500 onward."",""Contemporary English is not a standard periodization term.""}",2,False
Q327,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",Which event greatly affected vowel pronunciation between 1400–1600?,"{""The Great Schism"",""Industrial Revolution"",""Great Vowel Shift"",""Norman Conquest""}",2,"{""The Great Schism was a religious division, not a linguistic change."",""The Industrial Revolution occurred later (1760-1840) and affected society, not pronunciation."",""Correct! The Great Vowel Shift changed how long vowels were pronounced, creating spelling-pronunciation mismatches."",""The Norman Conquest (1066) affected vocabulary but not this specific vowel change.""}",3,False
Q328,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",The Renaissance and Shakespeare contributed to the rise of:,"{""Old English"",""Early Modern English"",""Middle English"",""Contemporary English""}",1,"{""Old English ended around 1100 CE."",""Correct! Early Modern English (1500-1800) includes the Renaissance, Shakespeare, and early standardization."",""Middle English ended around 1500 CE."",""Contemporary English came later.""}",2,False
Q329,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation","A word adopted directly from another language, such as 'ballet', is called a:","{""Calque"",""Loanword"",""Creole"",""Derivation""}",1,"{""Calques translate structure, not adopt words directly."",""Correct! A loanword is borrowed unchanged from another language (ballet, piano, café)."",""Creole is a type of language, not a borrowed word."",""Derivation creates new words from existing roots, not borrowing.""}",1,False
Q330,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",A word-for-word translation of a foreign phrase is known as a:,"{""Pidgin"",""Calque"",""Borrowing"",""Neologism""}",1,"{""Pidgin is a simplified contact language, not a translation method."",""Correct! A calque translates the structure literally (skyscraper = gratte-ciel)."",""Borrowing is general; calque is specifically literal translation."",""Neologism is a newly coined word.""}",2,False
Q331,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",The study of word origins and their historical changes is called:,"{""Etymology"",""Morphology"",""Phonology"",""Syntax""}",0,"{""Correct! Etymology studies word origins and semantic evolution."",""Morphology studies word structure."",""Phonology studies sound systems."",""Syntax studies sentence structure.""}",1,False
Q332,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",A simplified communication system between speakers of different languages is called a:,"{""Pidgin"",""Creole"",""Dialect"",""Sociolect""}",0,"{""Correct! Pidgins are simplified contact languages with no native speakers."",""Creoles evolve from pidgins when they gain native speakers."",""Dialects are varieties of a single language."",""Sociolects are social varieties.""}",2,False
Q333,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation","A stable, fully developed language that evolved from a pidgin is known as a:","{""Dialect"",""Creole"",""Idiolect"",""Sociolect""}",1,"{""Dialects are regional/social varieties, not evolved pidgins."",""Correct! Creoles develop when pidgins gain native speakers and expand grammatically."",""Idiolects are individual speech patterns."",""Sociolects are social group varieties.""}",2,False
Q334,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",Which of the following best defines 'dialect'?,"{""A social language register"",""A simplified communication form"",""A regional or social language variety"",""A new language created from two others""}",2,"{""Register refers to formality level, not dialect."",""This describes pidgin, not dialect."",""Correct! Dialects are systematic regional or social varieties of a language."",""This describes a creole or mixed language.""}",1,False
Q335,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",An individual's unique way of speaking is referred to as their:,"{""Sociolect"",""Dialect"",""Idiolect"",""Register""}",2,"{""Sociolect is group-based, not individual."",""Dialect is regional/social, not individual."",""Correct! Idiolect is an individual's unique linguistic fingerprint."",""Register is formality level, not individual style.""}",2,False
Q336,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",Language associated with specific social groups or classes is called a:,"{""Pidgin"",""Sociolect"",""Dialect"",""Register""}",1,"{""Pidgin is a contact language, not a social variety."",""Correct! Sociolect reflects social class, education, or group membership."",""Dialect is regional, not specifically social."",""Register is formality level.""}",2,False
Q337,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",Which statement best defines slang?,"{""A fixed formal register"",""A type of professional jargon"",""Informal language used for identity or novelty"",""Words borrowed from Latin""}",2,"{""Slang is informal, not formal."",""Jargon is specialized; slang is broader and more informal."",""Correct! Slang is informal, group-specific, and evolves rapidly."",""Latin borrowings are not necessarily slang.""}",1,False
Q338,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",The phrase 'cool' meaning 'good' or 'stylish' is an example of:,"{""A regionalism"",""A neologism"",""Slang"",""Borrowing""}",2,"{""Not limited to one region."",""It's not newly coined, but repurposed."",""Correct! 'Cool' for 'good' is informal slang that emerged mid-20th century."",""It's not borrowed from another language.""}",1,False
Q339,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",The word 'rodeo' entered English from:,"{""German"",""Spanish"",""French"",""Italian""}",1,"{""German did not contribute 'rodeo.'"",""Correct! 'Rodeo' comes from Spanish, reflecting cultural exchange in the American West."",""Not from French."",""Not from Italian.""}",2,False
Q340,Meaning & Communication,"Development of English Language, Borrowings, and Regional Variation",Variation between 'pop' and 'soda' across U.S. regions demonstrates:,"{""Morphology"",""Lexical variation"",""Phonemic drift"",""Idiolect""}",1,"{""Morphology is word structure, not regional word choice."",""Correct! Lexical variation means different words for the same thing in different regions."",""Phonemic drift is sound change over time."",""Idiolect is individual, not regional.""}",2,False
Q201,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Which theory emphasizes imitation and reinforcement in language learning?,"{""Behaviorist"",""Nativist"",""Interactionist"",""Cognitive""}",0,"{""Correct! Behaviorist theory (Skinner) views language as learned through imitation, practice, and reinforcement."",""Nativist theory emphasizes innate biological capacity, not imitation."",""Interactionist theory focuses on social interaction, not just imitation."",""Cognitive theory links language to mental development, not conditioning.""}",2,False
Q202,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",A child says 'I goed to the park.' This shows:,"{""Telegraphic speech"",""Overgeneralization"",""Interlanguage"",""Code-switching""}",1,"{""Telegraphic speech omits function words, not applies rules incorrectly."",""Correct! Overgeneralization applies the regular past tense rule (-ed) to irregular verbs, showing rule learning."",""Interlanguage is specific to L2 learners, not L1 development."",""Code-switching alternates between languages, not relevant here.""}",1,False
Q203,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Which theory claims humans are born with a Language Acquisition Device?,"{""Interactionist"",""Behaviorist"",""Nativist"",""Sociocultural""}",2,"{""Interactionist emphasizes social interaction, not innate devices."",""Behaviorist focuses on learned behavior, not biological endowment."",""Correct! Nativist theory (Chomsky) proposes an innate LAD that enables language acquisition."",""Sociocultural emphasizes cultural context, not biological structures.""}",2,False
Q204,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Language learning occurring through social interaction reflects:,"{""Interactionist Theory"",""Behaviorist Theory"",""Cognitive Theory"",""Innate Hypothesis""}",0,"{""Correct! Interactionist theory emphasizes that language develops through meaningful social interaction."",""Behaviorist focuses on imitation/reinforcement, not social meaning-making."",""Cognitive theory links language to mental development, not specifically social interaction."",""Innate Hypothesis (nativist) emphasizes biological capacity, not interaction.""}",2,False
Q205,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",The belief that early childhood is the most effective period for language learning supports the:,"{""Critical Period Hypothesis"",""Monitor Model"",""Input Hypothesis"",""Communicative Approach""}",0,"{""Correct! The Critical Period Hypothesis states language acquisition is easiest during childhood before brain plasticity declines."",""Monitor Model addresses conscious language learning, not age factors."",""Input Hypothesis focuses on comprehensible input, not developmental timing."",""Communicative Approach is a teaching method, not a developmental theory.""}",2,False
Q206,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",An English learner using Spanish grammar patterns in English speech demonstrates:,"{""Positive transfer"",""Negative transfer"",""Fossilization"",""Code-mixing""}",1,"{""Positive transfer helps learning through similarities, not creates errors."",""Correct! Negative transfer (interference) occurs when L1 patterns cause errors in L2."",""Fossilization is persistent errors despite instruction, not initial transfer."",""Code-mixing blends languages intentionally, not creates grammar errors.""}",2,False
Q207,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development","When similarities between two languages aid learning, this is:","{""Positive transfer"",""Negative transfer"",""Interlanguage"",""Code-switching""}",0,"{""Correct! Positive transfer occurs when L1-L2 similarities facilitate learning (e.g., cognates)."",""Negative transfer causes difficulties, not aids learning."",""Interlanguage is the learner's evolving system, not the transfer itself."",""Code-switching alternates languages, not transfer of patterns.""}",1,False
Q208,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",The transitional system combining elements of L1 and L2 is called:,"{""Code-switching"",""Interlanguage"",""Pidgin"",""Register""}",1,"{""Code-switching alternates between complete languages."",""Correct! Interlanguage is the learner's evolving linguistic system between L1 and L2."",""Pidgin is a contact language between groups, not individual learner language."",""Register is formality level, not a developmental system.""}",2,False
Q209,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Which approach emphasizes all four language domains in lessons?,"{""Integrative Language Teaching"",""Grammar-Translation"",""Audio-Lingual"",""Direct Method""}",0,"{""Correct! Integrative Language Teaching combines listening, speaking, reading, and writing in meaningful contexts."",""Grammar-Translation focuses on written translation, not all skills."",""Audio-Lingual emphasizes drilling and repetition, not integration."",""Direct Method uses target language only but doesn't necessarily integrate all skills.""}",2,False
Q210,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Students discussing solutions collaboratively to construct meaning exhibit:,"{""Collaborative Dialogue"",""Direct Instruction"",""Behavioral Conditioning"",""Drill and Practice""}",0,"{""Correct! Collaborative dialogue involves students negotiating meaning through peer interaction."",""Direct instruction is teacher-led, not student-centered discussion."",""Behavioral conditioning involves reinforcement, not collaborative meaning-making."",""Drill and practice is repetitive, not collaborative or meaning-focused.""}",1,False
Q211,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Which best describes the link between language arts and other subjects?,"{""They are unrelated"",""Language arts reinforce cognitive skills across subjects"",""Math and science develop separately"",""Reading skills hinder science vocabulary""}",1,"{""Language and content are deeply interconnected."",""Correct! Language arts skills (reading, writing, discussion) support learning across all disciplines."",""All subjects require and develop language skills."",""Reading skills support, not hinder, content vocabulary.""}",2,False
Q212,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Teachers promoting 'language across the curriculum' encourage:,"{""Grammar worksheets"",""Writing and discussion in all content areas"",""Oral reading only in English"",""Reducing subject vocabulary""}",1,"{""Grammar worksheets are isolated skill practice, not curriculum integration."",""Correct! Language across the curriculum integrates reading, writing, and speaking into all subjects."",""Not limited to oral reading or English class."",""Should expand, not reduce, vocabulary across subjects.""}",2,False
Q213,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Vygotsky's concept describing the range where learning occurs with support is:,"{""Critical Period"",""Zone of Proximal Development"",""Behavioral Conditioning"",""Interlanguage Stage""}",1,"{""Critical Period refers to optimal age for language acquisition."",""Correct! ZPD is the gap between independent and supported performance where learning happens."",""Behavioral conditioning is Skinner's concept, not Vygotsky's."",""Interlanguage is Selinker's concept for L2 learners.""}",2,False
Q214,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development","When students apply reading comprehension strategies in history class, they demonstrate:","{""Interlanguage"",""Disciplinary literacy"",""Negative transfer"",""Code-switching""}",1,"{""Interlanguage relates to L2 learning, not content literacy."",""Correct! Disciplinary literacy applies reading/writing strategies specific to content areas."",""Negative transfer causes errors, not strategy application."",""Code-switching alternates languages, not applies strategies.""}",2,False
Q215,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Which supports language acquisition through peer modeling and feedback?,"{""Silent reading"",""Collaborative dialogue"",""Dictation"",""Grammar translation""}",1,"{""Silent reading lacks peer interaction."",""Correct! Collaborative dialogue promotes language through peer interaction, modeling, and feedback."",""Dictation is teacher-directed, not peer-based."",""Grammar translation focuses on written work, not peer communication.""}",1,False
Q216,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",A teacher emphasizing content vocabulary like 'hypothesis' and 'variable' supports:,"{""Academic language"",""Informal language"",""Dialect variation"",""Interlanguage""}",0,"{""Correct! Academic language includes subject-specific vocabulary and formal discourse structures."",""These are formal academic terms, not informal language."",""Dialect variation is regional/social, not academic vocabulary."",""Interlanguage is L2 learner language, not academic vocabulary instruction.""}",1,False
Q217,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Students comparing English idioms with ones in their native language practice:,"{""Syntax transfer"",""Cross-linguistic connections"",""Phonemic decoding"",""Rote learning""}",1,"{""Syntax transfer relates to sentence structure, not vocabulary comparison."",""Correct! Cross-linguistic connections leverage knowledge across languages to deepen understanding."",""Phonemic decoding is sound-letter relationships, not idiom comparison."",""Rote learning is memorization without understanding.""}",2,False
Q218,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Which instructional practice best develops metacognitive reading skills?,"{""Silent reading logs"",""Think-aloud modeling"",""Dictation practice"",""Listening tests""}",1,"{""Silent reading logs track reading but don't model metacognition."",""Correct! Think-aloud modeling explicitly demonstrates comprehension monitoring and strategy use."",""Dictation doesn't develop metacognitive awareness."",""Listening tests assess, not develop, metacognition.""}",2,False
Q219,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",A student writes 'She no like apples.' This shows:,"{""Code-switching"",""Negative transfer"",""Fossilization"",""Overgeneralization""}",1,"{""Code-switching alternates complete languages, not creates errors."",""Correct! Negative transfer from Spanish (no auxiliary verb needed) causes this English error."",""Fossilization is persistent errors despite instruction, not initial transfer."",""Overgeneralization applies learned rules too broadly, not L1 interference.""}",2,False
Q220,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development","Integrating reading, writing, speaking, and listening into science lessons supports:","{""Language across the curriculum"",""Grammar immersion"",""Phonemic awareness"",""Spelling transfer""}",0,"{""Correct! Language across the curriculum integrates literacy skills into all subject areas."",""Grammar immersion isn't a recognized approach."",""Phonemic awareness is specific to sound-letter relationships."",""Spelling transfer relates to word patterns, not cross-curricular integration.""}",2,False
Q221,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Which describes students using both Spanish and English within a conversation?,"{""Interlanguage"",""Code-mixing"",""Negative transfer"",""Pidgin""}",1,"{""Interlanguage is a learner's evolving system, not mixing languages in speech."",""Correct! Code-mixing blends elements from two languages within discourse."",""Negative transfer causes errors, not intentional mixing."",""Pidgin is a simplified contact language, not bilingual mixing.""}",2,False
Q222,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",The teacher gradually removing supports as students gain independence is:,"{""Direct instruction"",""Scaffolding"",""Translation"",""Immersion""}",1,"{""Direct instruction is explicit teaching, not gradual release."",""Correct! Scaffolding provides temporary support that's gradually removed as competence grows."",""Translation converts between languages, not provides instructional support."",""Immersion surrounds learners with target language but doesn't describe gradual release.""}",1,False
Q223,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development","When students use known spelling patterns to decode new words, they demonstrate:","{""Phonemic awareness"",""Morphological transfer"",""Metacognition"",""Positive transfer""}",3,"{""Phonemic awareness is sound manipulation, not pattern application."",""Morphological transfer relates to word parts, not spelling patterns."",""Metacognition is awareness of thinking, not pattern use."",""Correct! Positive transfer applies known patterns to new contexts, facilitating learning.""}",2,False
Q224,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Academic words such as 'compare' or 'analyze' are considered:,"{""Tier 1 vocabulary"",""Tier 2 vocabulary"",""Tier 3 vocabulary"",""Dialect terms""}",1,"{""Tier 1 is basic, everyday vocabulary (happy, run)."",""Correct! Tier 2 vocabulary appears across disciplines and supports academic discourse."",""Tier 3 is domain-specific technical vocabulary (photosynthesis)."",""Dialect terms are regional/social, not academic categories.""}",1,False
Q225,Literature & Understanding,"Language Acquisition, Transfer, and Cross-Curricular Language Development",Which method best supports both language and content learning simultaneously?,"{""Content-based instruction"",""Grammar drills"",""Audiolingual method"",""Phonics-focused lessons""}",0,"{""Correct! Content-based instruction teaches language through meaningful subject matter, integrating both goals."",""Grammar drills isolate language forms from content."",""Audiolingual method focuses on pattern practice, not content."",""Phonics focuses on decoding, not content learning.""}",2,False
Q401,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",Which level of language focuses on the arrangement of words into phrases and clauses?,"{""Phonology"",""Morphology"",""Syntax"",""Semantics""}",2,"{""Phonology studies sound systems, not word arrangement."",""Morphology studies word formation from morphemes, not sentence structure."",""Correct! Syntax governs how words combine into phrases, clauses, and sentences."",""Semantics studies meaning, not grammatical structure.""}",1,False
Q402,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",Identifying prefixes and suffixes to determine word formation is primarily a task in:,"{""Phonology"",""Morphology"",""Semantics"",""Pragmatics""}",1,"{""Phonology deals with sounds, not word parts."",""Correct! Morphology analyzes word structure and formation from morphemes (roots, prefixes, suffixes)."",""Semantics addresses meaning, not word structure."",""Pragmatics examines context and use, not word formation.""}",1,False
Q403,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",A descriptive grammar statement would MOST likely say:,"{""'Never split infinitives.'"",""'People often end sentences with prepositions in casual speech.'"",""'Don't use double negatives.'"",""'Always use whom as the object.'""}",1,"{""This is prescriptive—dictating what not to do."",""Correct! Descriptive grammar observes actual language use without judgment."",""This is prescriptive—dictating a rule."",""This is prescriptive—dictating correct form.""}",2,False
Q404,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",A line that can be interpreted in multiple ways demonstrates:,"{""Denotation"",""Ambiguity"",""Oxymoron"",""Cliché""}",1,"{""Denotation is literal meaning, not multiple interpretations."",""Correct! Ambiguity allows multiple valid interpretations."",""Oxymoron combines contradictory terms, not creates multiple meanings."",""Cliché is overused expression, not multiple interpretations.""}",2,False
Q405,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",Which device best creates sensory impressions in readers?,"{""Allusion"",""Imagery"",""Synecdoche"",""Apostrophe""}",1,"{""Allusion references other texts, not sensory details."",""Correct! Imagery uses sensory language (sight, sound, smell, taste, touch) to evoke experiences."",""Synecdoche uses parts for wholes, not sensory details."",""Apostrophe addresses absent entities, not creates sensory impressions.""}",1,False
Q406,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",Connotation refers to:,"{""Dictionary meaning"",""Spelling variants"",""Associated meanings and feelings"",""Syntactic function""}",2,"{""Dictionary meaning is denotation, not connotation."",""Spelling variants are orthographic, not connotative."",""Correct! Connotation is the emotional/cultural associations beyond literal meaning."",""Syntactic function is grammatical role, not meaning associations.""}",1,False
Q407,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",A poet uses slant rhyme and irregular meter. The most likely effect is to:,"{""Create a monotonous rhythm"",""Heighten tension or unease"",""Ensure strict symmetry"",""Eliminate ambiguity""}",1,"{""Irregular meter disrupts monotony rather than creates it."",""Correct! Slant rhyme and irregular meter create tension and disrupt expectations, producing unease."",""Irregular meter breaks symmetry, not ensures it."",""These techniques can increase ambiguity, not eliminate it.""}",3,False
Q408,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",Which choice best signals a shift in tone that creates ironic undertones?,"{""Literal description only"",""Exaggerated praise of a clearly flawed subject"",""Chronological exposition"",""Objective reporting""}",1,"{""Literal description lacks the contrast needed for irony."",""Correct! Exaggerating praise of something flawed creates verbal irony—saying opposite of what's meant."",""Chronological structure doesn't create irony."",""Objective reporting avoids ironic tone.""}",2,False
Q409,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",Dialogue that reveals a character's values is primarily an example of:,"{""Plot structure"",""Characterization"",""Setting detail"",""Foreshadowing""}",1,"{""Plot is sequence of events, not character revelation."",""Correct! Characterization methods include dialogue revealing personality, beliefs, and values."",""Setting is time/place, not character traits."",""Foreshadowing hints at future events, not character values.""}",1,False
Q410,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",A passage describing storm clouds gathering over a quiet town most directly develops:,"{""Setting and mood"",""Tone and theme"",""Character arc"",""Point of view""}",0,"{""Correct! Setting (weather, location) and mood (ominous atmosphere) are developed through environmental description."",""Tone is author's attitude; theme is central idea—neither directly developed here."",""Character arc is personal growth trajectory, not environmental description."",""Point of view is narrative perspective, not setting/mood.""}",1,False
Q411,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",Which is the BEST indicator of a universal theme?,"{""A proper noun repeated throughout"",""A moral relevant only to one era"",""A concept resonating across cultures and time"",""A specific regional dialect""}",2,"{""Repeated names don't indicate universal significance."",""Era-specific morals aren't universal."",""Correct! Universal themes address fundamental human experiences that transcend culture and time."",""Regional dialect is specific, not universal.""}",2,False
Q412,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",The strongest thesis statement is typically:,"{""Vague and broad"",""A factual statement"",""A clear, arguable claim with scope"",""A rhetorical question""}",2,"{""Vague, broad statements lack focus and arguability."",""Facts aren't arguable—strong theses present debatable positions."",""Correct! Strong theses are clear, arguable, specific, and provide direction for the essay."",""Questions don't assert positions—they invite inquiry.""}",2,False
Q413,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",Which organizational pattern is best for evaluating two pedagogical models?,"{""Chronological"",""Definition"",""Compare–contrast"",""Process analysis""}",2,"{""Chronological shows time sequence, not evaluation."",""Definition explains terms, not compares models."",""Correct! Compare-contrast examines similarities and differences—ideal for evaluating two approaches."",""Process analysis explains how something works, not compares models.""}",1,False
Q414,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",A news article most appropriately uses which structure?,"{""Inverted pyramid with most important info first"",""Circular structure with motif return"",""Five-act dramatic arc"",""Stream-of-consciousness""}",0,"{""Correct! News articles use inverted pyramid—crucial information first, details following in decreasing importance."",""Circular structure is literary, not journalistic."",""Five-act structure is for drama, not news."",""Stream-of-consciousness is experimental fiction, not journalism.""}",1,False
Q415,Genre & Craft,"Language Structure, Literary Response, and Expository Writing Techniques",Which revision MOST improves coherence in a formal essay?,"{""Adding varied fonts"",""Replacing academic terms with slang"",""Adding transitional phrases that clarify logic"",""Removing topic sentences""}",2,"{""Font variation is visual, not logical coherence."",""Slang reduces formality and precision, not improves coherence."",""Correct! Transitions (however, therefore, consequently) clarify logical relationships between ideas."",""Topic sentences guide readers—removing them reduces coherence.""}",2,False
